set  4, d       CBE2   2 
set  5, d       CBEA   2 
set  6, d       CBF2   2 
set  7, d       CBFA   2 
set  0, e       CBC3   2 
set  1, e       CBCB   2 
set  2, e       CBD3   2 
set  3, e       CBDB   2 
set  4, e       CBE3   2 
set  5, e       CBEB   2 
set  6, e       CBF3   2 
set  7, e       CBFB   2 
set  0, h       CBC4   2 
set  1, h       CBCC   2 
set  2, h       CBD4   2 
set  3, h       CBDC   2 
set  4, h       CBE4   2 
set  5, h       CBEC   2 
set  6, h       CBF4   2 
set  7, h       CBFC   2 
set  0, l       CBC5   2 
set  1, l       CBCD   2 
set  2, l       CBD5   2 
set  3, l       CBDD   2 
set  4, l       CBE5   2 
set  5, l       CBED   2 
set  6, l       CBF5   2 
set  7, l       CBFD   2 
sla  (hl)       CB26   2 
sla  (ix*)      DDCB26 4 
sla  (iy*)      FDCB26 4 
sla  b          CB20   2 
sla  c          CB21   2 
sla  d          CB22   2 
sla  e          CB23   2 
sla  h          CB24   2 
sla  l          CB25   2 
sra  (hl)       CB2E   2 
sra  (ix*)      DDCB2E 4 
sra  (iy*)      FDCB2E 4 
sra  b          CB28   2 
sra  c          CB29   2 
sra  d          CB2A   2 
sra  e          CB2B   2 
sra  h          CB2C   2 
sra  l          CB2D   2 
srl  (hl)       CB3E   2 
srl  (ix*)      DDCB3E 4 
srl  (iy*)      FDCB3E 4 
srl  b          CB38   2 
srl  c          CB39   2 
srl  d          CB3A   2 
srl  e          CB3B   2 
srl  h          CB3C   2 
srl  l          CB3D   2 
sub  (ix*)      DD96   3 
sub  (iy*)      FD96   3 
rlc  b, (iy*)   FDCB00 4 
rlc  c, (iy*)   FDCB01 4 
rlc  d, (iy*)   FDCB02 4 
rlc  e, (iy*)   FDCB03 4 
rlc  h, (iy*)   FDCB04 4 
rlc  l, (iy*)   FDCB05 4 
rlc  a, (iy*)   FDCB07 4 
rrc  b, (iy*)   FDCB08 4 
rrc  c, (iy*)   FDCB09 4 
rrc  d, (iy*)   FDCB0A 4 
rrc  e, (iy*)   FDCB0B 4 
rrc  h, (iy*)   FDCB0C 4 
rrc  l, (iy*)   FDCB0D 4 
rrc  a, (iy*)   FDCB0F 4 
rl   b, (iy*)   FDCB10 4 
rl   c, (iy*)   FDCB11 4 
rl   d, (iy*)   FDCB12 4 
rl   e, (iy*)   FDCB13 4 
rl   h, (iy*)   FDCB14 4 
rl   l, (iy*)   FDCB15 4 
rl   a, (iy*)   FDCB17 4 
rr   b, (iy*)   FDCB18 4 
rr   c, (iy*)   FDCB19 4 
rr   d, (iy*)   FDCB1A 4 
rr   e, (iy*)   FDCB1B 4 
rr   h, (iy*)   FDCB1C 4 
rr   l, (iy*)   FDCB1D 4 
rr   a, (iy*)   FDCB1F 4 
sla  b, (iy*)   FDCB20 4 
sla  c, (iy*)   FDCB21 4 
sla  d, (iy*)   FDCB22 4 
sla  e, (iy*)   FDCB23 4 
sla  h, (iy*)   FDCB24 4 
sla  l, (iy*)   FDCB25 4 
sla  a, (iy*)   FDCB27 4 
sra  b, (iy*)   FDCB28 4 
sra  c, (iy*)   FDCB29 4 
sra  d, (iy*)   FDCB2A 4 
sra  e, (iy*)   FDCB2B 4 
sra  h, (iy*)   FDCB2C 4 
sra  l, (iy*)   FDCB2D 4 
sra  a, (iy*)   FDCB2F 4 
sl1  b, (iy*)   FDCB30 4 
sl1  c, (iy*)   FDCB31 4 
sl1  d, (iy*)   FDCB32 4 
sl1  e, (iy*)   FDCB33 4 
sl1  h, (iy*)   FDCB34 4 
sl1  l, (iy*)   FDCB35 4 
sl1  a, (iy*)   FDCB37 4 
srl  b, (iy*)   FDCB38 4 
srl  c, (iy*)   FDCB39 4 
srl  d, (iy*)   FDCB3A 4 
srl  e, (iy*)   FDCB3B 4 
srl  h, (iy*)   FDCB3C 4 
